begin initialization: 
initialization end!
begin iteration: 
0	0.940628
1	0.887478
2	0.856126
3	0.830043
4	0.806579
5	0.785029
6	0.765032
7	0.746352
8	0.728824
9	0.712322
10	0.696739
11	0.681988
12	0.667996
13	0.6547
14	0.64204
15	0.629968
16	0.618444
17	0.607429
18	0.596886
19	0.586786
20	0.577102
21	0.567809
22	0.558883
23	0.550302
24	0.542047
25	0.534099
26	0.526444
27	0.519063
28	0.511945
29	0.505075
30	0.49844
31	0.492031
32	0.485835
33	0.479844
34	0.474046
35	0.468434
36	0.462997
37	0.457728
38	0.452619
39	0.447658
40	0.44284
41	0.438158
42	0.433608
43	0.429181
44	0.424873
45	0.420678
46	0.416593
47	0.412613
48	0.408733
49	0.404946
3.40463	5	516.724
3.73393	4	516.794
3.19587	3	516.833
3.79065	4	516.877
2.938	5	521.128
3.5351	3	521.415
3.69736	5	523.112
4.56935	5	523.297
3.80656	4	523.335
3.43825	4	523.65
3.80437	3	524.297
3.39171	4	524.667
4.28107	5	525.184
4.21973	4	525.232
4.56943	5	525.418
4.49463	5	525.673
3.88228	3	526.452
4.47056	4	526.673
4.57068	5	526.857
4.79395	4	527.488
3.9477	3	528.386
4.62249	5	528.528
4.68109	5	528.63
4.09443	3	529.828
2.83518	5	534.514
2.36119	1	536.367
3.99746	3	537.362
3.60217	2	539.929
3.98205	5	540.965
3.48624	3	541.202
2.80998	4	542.618
2.83779	1	545.995
2.71882	4	547.637
4.20383	3	549.086
3.94464	5	550.2
4.81513	5	550.234
4.11499	5	551.017
4.52022	4	551.288
4.32964	4	551.396
4.60479	5	551.553
4.07171	5	552.414
4.50817	5	552.656
4.2762	5	553.18
4.07215	5	554.041
4.47298	5	554.319
3.76466	5	555.845
4.25208	4	555.908
4.07865	4	555.914
4.16338	5	556.614
2.9781	3	556.615
3.42764	4	556.942
2.46548	4	559.297
3.48788	1	565.487
1.80933	1	566.142
4.49411	5	566.398
3.29228	3	566.483
3.58691	4	566.654
4.39983	5	567.014
3.07201	4	567.875
3.66672	3	568.32
1.93111	1	569.187
2.96742	4	570.253
4.28438	5	570.765
4.23323	5	571.353
4.38271	5	571.734
4.1876	4	571.769
4.98037	4	572.73
4.80347	5	572.769
4.53487	4	573.055
4.70571	4	573.553
4.68943	3	576.407
4.07414	5	577.264
4.25803	4	577.331
3.86428	4	577.349
4.29102	4	577.434
3.7107	3	577.939
3.7238	4	578.015
4.51769	5	578.248
4.36103	4	578.378
4.51276	5	578.616
4.74638	4	579.173
4.71618	4	579.686
4.14041	5	580.425
4.58885	5	580.594
4.35754	5	581.006
4.85284	5	581.028
4.42335	5	581.361
4.43004	5	581.686
4.36512	5	582.089
4.2504	4	582.151
3.26083	4	582.698
4.31189	4	582.795
3.91587	4	582.802
3.87351	4	582.818
4.59057	4	583.167
4.14695	3	584.482
4.45583	4	584.69
4.52828	5	584.913
4.24906	4	584.975
4.71231	5	585.057
4.53203	4	585.34
4.3654	4	585.474
4.78884	4	586.096
4.28601	5	586.606
4.41136	4	586.775
3.95178	4	586.778
4.51694	5	587.011
4.24163	4	587.069
4.27343	4	587.144
4.35905	4	587.273
4.1005	4	587.283
4.58824	5	587.453
3.52808	4	587.675
3.36447	3	587.808
3.4969	4	588.061
3.72825	4	588.135
3.89169	4	588.147
3.57502	4	588.327
3.87843	4	588.342
3.93244	4	588.347
4.03399	4	588.348
4.29933	5	588.839
3.97271	4	588.84
3.92001	3	589.686
4.18538	4	589.72
4.71068	4	590.225
4.06392	4	590.23
5	5	590.23
4.27426	4	590.305
4.66087	5	590.42
4.48933	4	590.659
4.62757	4	591.053
3.85462	4	591.074
4.56676	5	591.262
4.34692	4	591.382
4.55237	5	591.583
4.26633	5	592.121
4.49018	4	592.361
4.20296	4	592.402
4.48009	5	592.673
4.44431	4	592.87
4.06624	4	592.874
4.14701	4	592.896
4.81346	5	592.931
4.57733	5	593.11
4.40037	4	593.27
4.67232	4	593.722
4.30082	3	595.414
4.28765	5	595.921
4.45545	5	596.218
4.73753	4	596.762
3.76689	3	597.35
3.5243	4	597.576
3.68311	4	597.677
3.62325	3	598.065
3.84133	5	599.408
3.57908	3	599.743
4.37061	4	599.88
2.8035	4	601.312
4.01085	4	601.312
3.63289	4	601.447
3.60894	4	601.6
3.83108	5	602.966
4.23097	2	607.943
4.00587	4	607.943
3.00725	3	607.943
2.97165	3	607.944
3.68027	4	608.046
3.33316	4	608.491
2.98029	2	609.452
3.21924	3	609.5
3.7652	4	609.555
4.24941	4	609.618
3.27963	3	609.696
2.70246	3	609.784
3.48058	4	610.054
2.02377	2	610.055
3.84728	4	610.078
3.6331	3	610.479
4.10422	4	610.49
4.38258	3	612.401
4.20833	4	612.445
4.1168	4	612.458
3.74711	4	612.522
3.87506	3	613.288
3.73627	3	613.83
4.13188	3	615.111
3.044	3	615.113
3.35316	4	615.531
3.6568	4	615.649
2.54302	1	618.03
3.80798	5	619.451
3.4874	5	621.739
3.37772	4	622.126
3.63369	3	622.528
3.19615	4	623.174
3.10716	4	623.971
2.26004	2	624.039
2.73626	2	624.581
3.4994	4	624.831
3.72889	4	624.905
3.80894	4	624.941
3.93563	5	626.074
3.75374	4	626.135
3.22438	3	626.185
3.74369	2	629.226
3.94485	2	633.008
4.14873	4	633.03
3.7602	3	633.608
3.15079	2	634.933
3.20203	3	634.973
2.77266	2	635.57
3.7683	4	635.624
3.87622	3	636.392
3.66209	4	636.506
3.65781	2	639.254
3.42173	5	641.745
3.34163	4	642.179
2.97464	1	646.078
3.13853	3	646.097
2.83801	3	646.123
3.10103	5	649.729
2.59147	3	649.896
2.52351	3	650.123
3.64025	3	650.533
3.79593	3	651.167
3.50525	4	651.412
2.51417	3	651.648
4.1744	3	653.027
3.93417	4	653.031
3.19727	3	653.07
3.69308	4	653.164
3.25949	5	656.194
2.0037	2	656.194
3.29842	4	656.686
3.8973	4	656.696
3.46283	2	658.836
3.37297	4	659.229
4.15168	5	659.949
4.40144	5	660.307
4.943	4	661.197
4.10293	4	661.207
4.05921	4	661.211
4.25632	4	661.276
4.21651	5	661.89
4.35173	5	662.311
4.22972	5	662.904
4.07418	5	663.761
4.48532	4	663.997
4.31002	5	664.473
4.71875	5	664.552
4.08089	1	674.044
4.47744	5	674.317
3.81767	4	674.35
4.23034	5	674.942
3.99213	4	674.942
4.83658	5	674.969
3.7925	4	675.012
3.80682	5	676.436
3.98976	5	677.456
4.19249	5	678.108
4.41292	5	678.453
4.16642	5	679.148
3.44762	4	679.453
2.95764	3	679.455
3.3098	1	684.79
3.57625	4	684.97
2.47073	3	685.25
2.89797	1	688.852
3.14302	1	693.445
3.10668	3	693.456
2.23383	2	693.511
2.65604	2	693.941
3.42463	4	694.272
3.97682	3	695.226
3.6636	5	697.012
3.64611	5	698.845
3.8241	4	698.876
3.65799	4	698.993
4.23361	5	699.58
3.38738	3	699.731
3.40374	4	700.086
2.80549	4	701.513
3.21843	3	701.561
3.33131	4	702.008
2.90144	3	702.017
2.85564	3	702.038
3.73189	4	702.11
4.04913	4	702.113
4.09476	5	702.932
3.03191	4	703.869
2.93092	4	705.012
3.17888	5	708.329
3.90724	5	709.523
3.69894	5	711.216
3.73778	4	711.284
3.01836	3	711.285
3.66324	5	713.072
3.91862	4	713.078
3.81408	5	714.485
3.21919	5	717.656
2.67549	4	719.41
4.36671	4	719.545
4.054	2	723.764
4.03032	4	723.765
4.03111	5	724.703
4.10745	5	725.5
4.04457	3	726.591
3.45366	4	726.89
3.72831	4	726.963
3.87117	3	727.722
3.57443	4	727.903
3.7855	3	728.52
3.26176	1	733.636
3.7707	5	735.147
3.49677	3	735.394
3.39688	5	737.964
3.74959	5	739.527
2.87296	1	743.035
2.71328	1	745.971
2.8898	4	747.203
3.03639	4	748.132
3.36504	3	748.265
3.04326	3	748.267
3.69959	3	748.756
2.02429	3	749.708
3.89851	4	749.719
2.14302	1	751.025
1.31411	5	764.611
3.72728	4	764.685
3.71091	4	764.769
3.47327	2	766.939
3.45254	4	767.239
2.79845	1	770.474
3.94721	4	770.476
3.26717	3	770.548
3.53959	5	772.681
2.87735	3	772.696
3.498	1	778.936
2.95868	2	779.855
2.94466	4	780.968
2.82734	2	781.653
3.2874	1	786.885
3.11715	1	791.367
4.11411	5	792.152
3.56483	4	792.342
3.36451	4	792.745
3.08003	3	792.752
2.91241	1	796.409
1.02481	1	796.41
3.98902	5	797.432
3.73431	5	799.034
4.19659	3	800.466
2.97155	4	801.523
4.17055	1	811.576
3.04194	3	811.578
3.10432	3	811.588
3.0839	1	815.931
2.28553	1	817.584
3.17361	2	818.961
2.61563	2	819.34
2.63643	1	822.018
3.39781	2	823.972
3.26753	4	824.508
2.81364	1	827.798
2.766	1	830.916
2.04083	4	834.755
3.24017	2	836.293
2.88377	4	837.539
2.47855	3	837.811
2.24009	1	839.348
2.73934	1	842.374
2.52993	2	842.655
3.35581	3	842.781
3.04819	3	842.784
2.52294	3	843.011
2.46907	3	843.293
3.02948	4	844.235
2.93202	2	845.104
2.65253	3	845.224
3.35012	5	847.946
3.49861	3	848.195
3.25682	2	849.775
3.45888	4	850.067
3.23585	2	851.595
3.71592	5	853.244
3.57427	5	855.276
3.57423	1	861.903
3.42469	2	863.933
1	1	863.933
1.71601	1	864.445
3.53241	4	864.664
3.2218	2	866.157
2.78436	4	867.635
2.45834	3	867.928
2.93357	1	871.667
2.43686	3	871.984
1.53039	1	872.265
3.62022	5	874.169
2.68833	5	879.513
2.69475	2	879.995
3.02293	4	880.95
4.32498	3	882.706
3.75203	3	883.271
3.86358	5	884.563
4.23157	5	885.153
3.97585	3	886.105
3.80723	5	887.528
3.85304	4	887.55
3.2145	5	890.738
3.59494	5	892.712
3.89476	3	893.513
3.13714	3	893.531
3.6441	5	895.37
3.66765	5	897.145
3.82573	5	898.524
3.56749	5	900.576
3.96234	5	901.653
3.99348	4	901.653
4.07143	4	901.658
3.74733	3	902.216
4.00097	5	903.214
2.19661	1	904.646
2.309	3	905.124
2.72263	3	905.201
1.92985	3	906.346
1.69186	1	906.825
2.68219	1	909.654
2.81619	5	914.423
3.41706	4	914.763
3.98435	3	915.732
3.18509	3	915.766
2.83603	3	915.793
3.78239	4	915.841
3.66999	5	917.61
3.47195	2	919.776
3.842	4	919.801
3.66925	4	919.911
3.82789	4	919.94
3.56486	3	920.259
3.11521	5	923.812
3.13618	2	925.103
3.69239	3	925.582
4.04945	5	926.486
3.8223	5	927.873
3.91456	3	928.709
2.67638	2	929.167
3.24287	3	929.226
2.40173	3	929.583
2.4356	1	931.644
1.99947	1	932.643
3.14622	5	936.08
3.9993	4	936.08
3.74337	5	937.659
2.79211	4	939.118
2.66688	4	940.895
3.73011	3	941.428
3.13706	1	945.995
2.96646	3	945.996
2.00552	2	945.996
2.69119	2	946.474
3.25444	4	947.03
2.9531	1	950.845
3.40295	2	952.813
2.71151	1	955.742
3.10284	3	955.753
2.66227	3	955.867
2.45234	3	956.167
2.80032	1	959.408
2.51421	3	959.644
3.27942	3	959.722
2.32129	1	961.468
3.4599	4	961.759
2.62137	2	962.145
3.63573	4	962.278
2.83034	1	965.628
2.66401	2	966.069
2.75016	4	967.631
2.92682	2	968.49
3.02266	5	972.4
2.15383	1	973.732
2.40159	4	976.286
2.83303	3	976.314
2.67287	5	981.73
2.69225	1	984.594
3.02266	1	988.685
2.16954	3	989.374
3.46335	2	991.516
3.79528	1	999.329
2.42783	3	999.657
3.05372	2	1000.77
3.26999	1	1005.92
3.58791	4	1006.09
3.22601	5	1009.24
3.02266	1	1013.33
3.25863	1	1018.43
3.59351	5	1020.41
3.02266	3	1020.41
1.02481	1	1020.41
2.81188	1	1023.69
2.47898	1	1025.88
2.43157	3	1026.2
2.91622	4	1027.38
2.57837	3	1027.55
3.47948	5	1029.87
2.59673	3	1030.03
2.97949	5	1034.11
2.55167	1	1036.52
2.24675	2	1036.58
2.42453	2	1036.76
2.16265	1	1038.11
2.08226	1	1039.28
3.43119	5	1041.74
3.14026	2	1043.04
1.67632	1	1043.5
2.45521	3	1043.8
1.55515	1	1044.11
2.78662	1	1047.3
1.73986	1	1047.85
3.24611	3	1047.91
2.98636	1	1051.85
2.54026	1	1054.23
2.13076	2	1054.24
3.02634	2	1055.3
3.52787	1	1061.69
3.61681	5	1063.6
2.80215	3	1063.64
4.54073	5	1063.85
4.0052	4	1063.85
3.46325	4	1064.14
4.27893	3	1065.77
4.22534	4	1065.82
3.74318	3	1066.38
4.48836	3	1068.59
4.20519	5	1069.22
4.41387	4	1069.39
4.88358	5	1069.41
4.40052	5	1069.77
4.06442	1	1079.16
4.2839	3	1080.81
4.84262	3	1084.2
4.60846	5	1084.35
3.83392	3	1085.05
4.33617	5	1085.49
3.99419	3	1086.48
4.47943	5	1086.75
4.64421	4	1087.17
4.73613	5	1087.23
4.91062	5	1087.24
4.47667	5	1087.52
4.52291	1	1099.93
4.42497	5	1100.26
4.36308	3	1102.12
4.36476	5	1102.52
4.4351	4	1102.71
4.29516	5	1103.21
4.34987	4	1103.33
4.3136	4	1103.43
4.50798	4	1103.68
4.43217	4	1103.87
4.81751	5	1103.9
4.90178	2	1112.32
4.9459	2	1121
5	5	1121
3.92305	4	1121.01
4.89687	4	1121.81
4.34964	3	1123.64
3.38097	4	1124.02
4.45362	4	1124.22
4.76379	5	1124.28
4.15952	5	1124.99
4.21557	4	1125.03
4.18094	4	1125.07
4.84075	5	1125.09
4.47708	5	1125.36
3.7855	3	1125.98
5	4	1126.98
4.12505	5	1127.75
4.36823	5	1128.15
3.62299	5	1130.04
4.37644	5	1130.43
4.29086	2	1135.68
3.87823	3	1136.45
4.4346	4	1136.64
3.59479	1	1143.37
3.53008	1	1149.77
3.36017	4	1150.18
2.78804	1	1153.38
3.2018	3	1153.42
2.83415	3	1153.45
4.38964	2	1159.16
3.30248	4	1159.65
3.02425	3	1159.65
3.14597	3	1159.67
2.75705	2	1160.24
3.20181	4	1160.88
3.0216	1	1164.96
3.5988	2	1167.52
2.9407	3	1167.52
3.07072	4	1168.39
2.97789	4	1169.43
3.08599	1	1173.78
3.11122	3	1173.8
2.68396	2	1174.26
2.10491	2	1174.27
2.76618	5	1179.26
3.49737	5	1181.52
2.69445	4	1183.23
3.00084	1	1187.23
2.76338	4	1188.76
3.10804	2	1189.99
3.27842	2	1191.62
2.84161	4	1192.96
2.20522	1	1194.42
2.67197	4	1196.18
2.72445	2	1196.7
3.06767	2	1197.84
2.98944	4	1198.87
3.00995	1	1202.91
2.85111	5	1207.52
2.70336	1	1210.42
3.04839	4	1211.33
3.33243	3	1211.44
3.40839	3	1211.61
2.1919	1	1213.03
2.4989	1	1215.27
2.4383	1	1217.34
2.83879	4	1218.69
4.3837	5	1219.07
4.72682	5	1219.15
4.54741	5	1219.35
4.96145	5	1219.35
3.74066	2	1222.38
4.54447	5	1222.59
4.30524	5	1223.07
4.01633	4	1223.07
4.2001	5	1223.71
4.71034	5	1223.8
5	5	1223.8
4.83398	5	1223.82
4.08764	4	1223.83
4.15852	5	1224.54
4.85461	2	1232.69
4.13101	4	1232.71
4.56968	5	1232.89
4.65475	5	1233.01
4.6713	4	1233.46
4.54759	5	1233.67
4.31519	5	1234.13
